,Subsistema,Data,ENA_Bruta[MWmed],ENA_Bruta[%MLT],ENA_Armazenavel[MWmed],ENA_Armazenavel[%MLT],EAR_max,EAR[MWmes],EAR[%max],Carga_Diaria[MWmed],CMO_semanal[R$/MWh],CMO_leve[R$/MWh],CMO_media[R$/MWh],CMO_pesada[R$/MWh],Diferenca_CMO [R$/MWh],Razao_CMO
145,Sul,2023-03-27,5709.51611328,80.79299927,5611.6328125,79.40789795,20459.2421875,17077.66601563,83.47160339,13034.682045,,,,,,
146,Nordeste,2023-03-27,7046.41601563,49.92789841,6834.33789063,48.42520142,51691.2265625,47128.68359375,91.17350006,11050.52245833,,,,,,
147,Norte,2023-03-27,32973.39453125,123.39299774,18671.45117188,69.87229919,15302.39648438,14947.88085938,97.6832962,6845.125,,,,,,
148,Sudeste,2023-03-26,66239.78125,95.79100037,45074.28515625,65.18299866,204615.328125,168774.265625,82.48370361,38709.68091667,,,,,,
149,Sul,2023-03-26,5994.49511719,84.82559967,5850.26318359,82.7845993,20459.2421875,17093.85742188,83.55079651,10427.56279167,,,,,,
150,Nordeste,2023-03-26,7698.10888672,54.54550171,7478.63720703,52.99039841,51691.2265625,47086.3125,91.09149933,10041.156875,,,,,,
151,Norte,2023-03-26,33126.69140625,123.96669769,17662.2578125,66.09570313,15302.39648438,14983.83007813,97.91819763,6203.07516667,,,,,,
152,Sudeste,2023-03-25,68542.8515625,99.12149811,48377.7421875,69.96019745,204615.328125,168366.5,82.28440094,41608.29620833,0.0,0.0,0.0,0.0,0.0,0.0
153,Sul,2023-03-25,5959.52978516,84.33080292,5818.30517578,82.33239746,20459.2421875,17046.05664063,83.31710052,12485.541875,0.0,0.0,0.0,0.0,0.0,0.0
154,Nordeste,2023-03-25,8473.203125,60.03749847,8253.35253906,58.47969818,51691.2265625,47007.24609375,90.93849945,10827.31970833,0.0,0.0,0.0,0.0,0.0,0.0
155,Norte,2023-03-25,33050.2578125,123.68060303,17486.0234375,65.436203,15302.39648438,14986.87597656,97.93810272,6534.18616667,0.0,0.0,0.0,0.0,0.0,0.0
156,Sul,2023-03-24,6060.94091797,85.76580048,5878.65820313,83.18640137,20459.2421875,17071.10742188,83.43959808,15017.82924673,,,,,,
157,Norte,2023-03-24,32942.23828125,123.27639771,17181.34960938,64.29599762,15302.39648438,15004.64257813,98.05419922,6823.12770833,,,,,,
158,Nordeste,2023-03-24,9393.20898438,66.55619812,9057.94726563,64.18070221,51691.2265625,46930.34765625,90.78980255,11450.61354167,,,,,,
159,Sudeste,2023-03-24,71002.0,102.67769623,50347.5390625,72.80879974,204615.328125,168106.609375,82.15740204,45292.267375,,,,,,
160,Sudeste,2023-03-23,73153.0859375,105.78849792,49755.40234375,71.95249939,204615.328125,168003.015625,82.10679626,44551.99645833,,,,,,
161,Sul,2023-03-23,5951.06396484,84.21099854,5734.14697266,81.14150238,20459.2421875,17083.6875,83.50109863,15182.53345833,,,,,,
162,Nordeste,2023-03-23,10328.76269531,73.18520355,9999.17578125,70.84980011,51691.2265625,46810.36328125,90.55770111,11344.11941667,,,,,,
163,Norte,2023-03-23,32840.09765625,122.89420319,17519.31445313,65.56079865,15302.39648438,15049.0,98.34410095,6801.315875,,,,,,
164,Sudeste,2023-03-22,74587.0,107.86209869,51809.6015625,74.92310333,204615.328125,167763.484375,81.98970032,44560.95025,,,,,,
165,Sul,2023-03-22,6022.51318359,85.2220993,5812.60791016,82.25180054,20459.2421875,17092.84179688,83.54579926,15147.32179139,,,,,,
166,Nordeste,2023-03-22,10542.61425781,74.70040131,10226.27148438,72.45890045,51691.2265625,46639.515625,90.22709656,11221.278125,,,,,,
167,Norte,2023-03-22,32221.7578125,120.5802002,18186.01953125,68.05570221,15302.39648438,15056.07421875,98.39029694,6882.41116667,,,,,,
168,Sudeste,2023-03-21,75861.5,109.7052002,51161.7578125,73.98629761,204615.328125,167508.671875,81.86519623,44559.76520833,,,,,,
169,Sul,2023-03-21,6357.84082031,89.96710205,5975.45410156,84.55609894,20459.2421875,17092.8125,83.54570007,15174.09395833,,,,,,
170,Nordeste,2023-03-21,9755.0390625,69.12000275,9439.45410156,66.8839035,51691.2265625,46418.55078125,89.79969788,11639.32133333,,,,,,
171,Norte,2023-03-21,31407.78125,117.53420258,18234.34960938,68.23660278,15302.39648438,15090.00390625,98.61199951,6823.921625,,,,,,
172,Nordeste,2023-03-20,8643.73339844,61.24580002,8460.45703125,59.94720078,51691.2265625,46209.37890625,89.39499664,11732.0935,,,,,,
173,Norte,2023-03-20,30533.10351563,114.2609024,18466.8125,69.10649872,15302.39648438,15089.12109375,98.60630035,6670.80504167,,,,,,
174,Sul,2023-03-20,6660.64208984,94.2519989,6209.21777344,87.86399841,20459.2421875,17162.48242188,83.88619995,14866.34896224,,,,,,
175,Sudeste,2023-03-20,77392.9140625,111.9197998,48559.05859375,70.22239685,204615.328125,167451.640625,81.83730316,43750.82858333,,,,,,
176,Sudeste,2023-03-19,78823.8359375,113.9890976,45738.36328125,66.1434021,204615.328125,167510.484375,81.86599731,36848.10729167,,,,,,
177,Sul,2023-03-19,7071.35498047,100.063797,6189.16308594,87.58029938,20459.2421875,17216.00976563,84.14779663,11163.25483202,,,,,,
178,Nordeste,2023-03-19,7849.50683594,55.61819839,7663.75,54.30199814,51691.2265625,45999.01953125,88.98809814,10368.93075,,,,,,
179,Norte,2023-03-19,29787.85546875,111.4720993,17821.43554688,66.69139862,15302.39648438,15085.90917969,98.58529663,6209.23516667,,,,,,
180,Sudeste,2023-03-18,78777.875,113.92259979,48577.23828125,70.248703,204615.328125,167099.515625,81.66519928,39870.515375,0.0,0.0,0.0,0.0,0.0,0.0
181,Sul,2023-03-18,7486.25878906,105.93489838,7202.04492188,101.9131012,20459.2421875,17213.05078125,84.13339996,12509.25983384,0.0,0.0,0.0,0.0,0.0,0.0
182,Nordeste,2023-03-18,7338.73876953,51.99909973,7173.62695313,50.82920074,51691.2265625,45888.203125,88.7736969,11524.803,0.0,0.0,0.0,0.0,0.0,0.0
183,Norte,2023-03-18,28479.24414063,106.57499695,16984.5625,63.55960083,15302.39648438,15029.08886719,98.21399689,6287.34670833,0.0,0.0,0.0,0.0,0.0,0.0
184,Sudeste,2023-03-17,78441.609375,113.43630219,47220.85546875,68.28720093,204615.328125,166841.921875,81.53929901,42937.68925,,,,,,
185,Sul,2023-03-17,8028.15283203,113.60299683,6512.11621094,92.15019989,20459.2421875,17217.06445313,84.15299988,14586.47866667,,,,,,
186,Nordeste,2023-03-17,7126.07617188,50.49229813,6971.68896484,49.39839935,51691.2265625,45770.4140625,88.54579926,12091.94575,,,,,,
187,Norte,2023-03-17,27418.96289063,102.60720062,17237.11328125,64.50469971,15302.39648438,15078.00195313,98.53359985,6623.28108333,,,,,,
188,Norte,2023-03-16,26326.31445313,98.51830292,16427.5078125,61.47499847,15302.39648438,15019.26660156,98.14980316,6603.793375,,,,,,
189,Nordeste,2023-03-16,7073.34179688,50.11869812,6920.84619141,49.0381012,51691.2265625,45663.7109375,88.33940125,12039.54533333,,,,,,
190,Sul,2023-03-16,8510.71289063,120.4315033,7837.9921875,110.91210175,20459.2421875,17278.63867188,84.45400238,14512.34154107,,,,,,
191,Sudeste,2023-03-16,77462.078125,112.01979828,46099.7578125,66.66600037,204615.328125,166622.765625,81.43219757,43219.225375,,,,,,
192,Sudeste,2023-03-15,76038.8125,109.96160126,45296.7265625,65.50469971,204615.328125,166470.0,81.35749817,43473.26770833,,,,,,
193,Sul,2023-03-15,9040.27636719,127.92520142,6520.51220703,92.26899719,20459.2421875,17294.11523438,84.52960205,14456.81041465,,,,,,
194,Nordeste,2023-03-15,7022.62304688,49.75930023,6974.18798828,49.41609955,51691.2265625,45554.1796875,88.12750244,12081.091875,,,,,,
195,Norte,2023-03-15,25895.19726563,96.90499878,17066.25976563,63.86529922,15302.39648438,15044.20605469,98.31269836,6543.67833333,,,,,,
196,Sudeste,2023-03-14,75084.640625,108.58170319,47654.3671875,68.91410065,204615.328125,166590.09375,81.41619873,43485.32683333,,,,,,
197,Sul,2023-03-14,9407.51953125,133.12190247,6534.73388672,92.47029877,20459.2421875,17333.63085938,84.72270203,14453.75591517,,,,,,
198,Nordeste,2023-03-14,6960.31103516,49.31779861,6911.87597656,48.97460175,51691.2265625,45480.43359375,87.98480225,12182.719375,,,,,,
199,Norte,2023-03-14,24796.13867188,92.792099,16441.25585938,61.52640152,15302.39648438,15040.15136719,98.28620148,6531.37075,,,,,,
200,Sudeste,2023-03-13,74278.6875,107.41619873,47727.41015625,69.01979828,204615.328125,166439.859375,81.34279633,42951.18616667,,,,,,
201,Sul,2023-03-13,10017.03515625,141.74690247,7980.44824219,112.9280014,20459.2421875,17405.09179688,85.0719986,14011.7134139,,,,,,
202,Nordeste,2023-03-13,7043.86279297,49.90980148,6995.42822266,49.5666008,51691.2265625,45372.703125,87.77639771,11996.64891667,,,,,,
203,Norte,2023-03-13,24329.99609375,91.04769897,17117.86523438,64.0585022,15302.39648438,15063.29394531,98.4375,6576.50525,,,,,,
204,Nordeste,2023-03-12,7276.86914063,51.56079865,7228.43408203,51.21760178,51691.2265625,45269.7734375,87.57730103,10665.205,,,,,,
205,Norte,2023-03-12,23640.63085938,88.46790314,17558.62695313,65.707901,15302.39648438,15002.84179688,98.04239655,6171.279875,,,,,,
206,Sudeste,2023-03-12,72689.09375,105.11750031,46861.33203125,67.76730347,204615.328125,166020.234375,81.13770294,36794.28079167,,,,,,
207,Sul,2023-03-12,10694.58007813,151.33450317,7498.15917969,106.103302,20459.2421875,17445.02148438,85.26719666,10739.3266237,,,,,,
208,Sudeste,2023-03-11,70889.421875,102.51490021,51612.32421875,74.63780212,204615.328125,165168.109375,80.72129822,40815.38004167,0.0,0.0,0.0,0.0,0.0,0.0
209,Sul,2023-03-11,11190.984375,158.35890198,6900.30908203,97.6434021,20459.2421875,17417.57617188,85.13300323,12141.18837477,0.0,0.0,0.0,0.0,0.0,0.0
210,Nordeste,2023-03-11,7469.62304688,52.92649841,7421.18798828,52.58330154,51691.2265625,45169.328125,87.38300323,11398.56241667,0.0,0.0,0.0,0.0,0.0,0.0
211,Norte,2023-03-11,23333.33203125,87.31800079,17379.8359375,65.0388031,15302.39648438,14933.06542969,97.58640289,6518.42445833,0.0,0.0,0.0,0.0,0.0,0.0
212,Sudeste,2023-03-10,69617.9296875,100.67620087,54451.88671875,78.74420166,204615.328125,164240.5,80.26789856,45181.42533333,,,,,,
213,Sul,2023-03-10,11536.7578125,163.25180054,7618.75,107.80970001,20459.2421875,17424.46679688,85.16670227,14083.90258388,,,,,,
214,Nordeste,2023-03-10,7658.52783203,54.26499939,7607.82324219,53.90579987,51691.2265625,45099.52734375,87.24790192,12133.138,,,,,,
215,Norte,2023-03-10,22845.5625,85.49259949,16440.14648438,61.52230072,15302.39648438,14916.00683594,97.47499847,6757.37808333,,,,,,
216,Sul,2023-03-09,11803.14648438,167.02139282,10123.90136719,143.25909424,20459.2421875,17476.05273438,85.41889954,14535.96349816,,,,,,
217,Nordeste,2023-03-09,7840.7890625,55.55649948,7779.8671875,55.12480164,51691.2265625,45057.3203125,87.16629791,12117.77529167,,,,,,
218,Norte,2023-03-09,23124.40234375,86.53610229,15180.38476563,56.80799866,15302.39648438,14955.04199219,97.73010254,6785.44929167,,,,,,
219,Sudeste,2023-03-09,69263.265625,100.16329956,56328.92578125,81.45860291,204615.328125,163462.09375,79.88749695,45456.10054167,,,,,,
220,Norte,2023-03-08,23410.88476563,87.60820007,13913.64746094,52.06760025,15302.39648438,15017.68457031,98.13939667,6712.50916667,,,,,,
221,Nordeste,2023-03-08,8024.75195313,56.85990143,7928.25976563,56.17620087,51691.2265625,44972.23046875,87.00170135,11904.43058333,,,,,,
222,Sul,2023-03-08,12008.47851563,169.92700195,7617.42919922,107.79100037,20459.2421875,17451.18359375,85.29730225,14352.80525,,,,,,
223,Sudeste,2023-03-08,69253.015625,100.14849854,57966.1796875,83.82630157,204615.328125,162658.25,79.49469757,45092.173,,,,,,
224,Sudeste,2023-03-07,69322.828125,100.24939728,58661.7265625,84.8321991,204615.328125,161879.203125,79.11389923,45158.12095833,,,,,,
225,Sul,2023-03-07,12207.32714844,172.74079895,6862.6171875,97.11000061,20459.2421875,17482.04492188,85.44819641,13669.24783398,,,,,,
226,Nordeste,2023-03-07,8178.49707031,57.94929886,8129.30517578,57.60079956,51691.2265625,44897.70703125,86.85749817,11983.07270833,,,,,,
227,Norte,2023-03-07,23474.35351563,87.84570313,14303.68261719,53.52719879,15302.39648438,15066.27734375,98.45700073,6656.45029167,,,,,,
228,Sudeste,2023-03-06,70078.7890625,101.34259796,58170.02734375,84.12110138,204615.328125,161125.84375,78.74569702,44351.55879167,,,,,,
229,Sul,2023-03-06,9870.37304688,139.67149353,8650.91796875,122.41549683,20459.2421875,17500.34765625,85.53759766,13139.39504119,,,,,,
230,Nordeste,2023-03-06,8276.7734375,58.64559937,8227.58105469,58.29710007,51691.2265625,44807.84375,86.68370056,11614.69133333,,,,,,
231,Norte,2023-03-06,23712.765625,88.73789978,14996.17675781,56.11869812,15302.39648438,15041.16113281,98.2928009,6794.12954167,,,,,,
232,Sul,2023-03-05,8876.20214844,125.60340118,6196.76123047,87.68779755,20459.2421875,17458.96875,85.33540344,10014.4164575,,,,,,
233,Nordeste,2023-03-05,8306.92871094,58.85929871,8257.73730469,58.51079941,51691.2265625,44691.1484375,86.457901,10543.98483333,,,,,,
234,Norte,2023-03-05,23865.38867188,89.30899811,15171.44628906,56.77460098,15302.39648438,15041.6796875,98.29620361,6303.12879167,,,,,,
235,Sudeste,2023-03-05,70037.796875,101.28340149,54455.31640625,78.74919891,204615.328125,160457.28125,78.41899872,38506.446875,,,,,,
236,Sudeste,2023-03-04,71098.4140625,102.81710052,55345.8828125,80.03700256,204615.328125,159402.5,77.90350342,42221.58033333,0.0,0.0,0.0,0.0,0.0,0.0
237,Sul,2023-03-04,8452.62011719,119.60949707,7016.31982422,99.28500366,20459.2421875,17440.37695313,85.24449921,11814.6250848,0.0,0.0,0.0,0.0,0.0,0.0
238,Nordeste,2023-03-04,8300.59472656,58.81439972,8251.40332031,58.46590042,51691.2265625,44573.796875,86.23090363,11359.44441667,0.0,0.0,0.0,0.0,0.0,0.0
239,Norte,2023-03-04,23823.31054688,89.1516037,16985.17773438,63.56190109,15302.39648438,15050.890625,98.35639954,6512.24620833,0.0,0.0,0.0,0.0,0.0,0.0
240,Sudeste,2023-03-03,72658.3046875,105.07299805,55833.30078125,80.74189758,204615.328125,158637.875,77.52980042,45811.87291667,,,,,,
241,Sul,2023-03-03,8017.65722656,113.45449829,6513.20214844,92.16560364,20459.2421875,17444.859375,85.2664032,14190.31925065,,,,,,
242,Nordeste,2023-03-03,8311.53515625,58.89199829,8311.53515625,58.89199829,51691.2265625,44489.69140625,86.06819916,11899.428125,,,,,,
243,Norte,2023-03-03,23494.96484375,87.92279816,15856.58691406,59.33850098,15302.39648438,15002.56640625,98.04060364,6877.60979167,,,,,,
244,Sudeste,2023-03-02,73828.1640625,106.76470184,55465.8125,80.21050262,204615.328125,158154.375,77.29350281,45038.4005,,,,,,
245,Sul,2023-03-02,8059.03515625,114.04000092,6386.52783203,90.37310028,20459.2421875,17504.109375,85.55599976,14316.97725111,,,,,,
246,Nordeste,2023-03-02,8413.58886719,59.61510086,8413.58886719,59.61510086,51691.2265625,44370.94921875,85.83850098,11933.48075,,,,,,
247,Norte,2023-03-02,23610.8828125,88.3565979,16210.34082031,60.66230011,15302.39648438,15005.78125,98.06159973,6889.34575,,,,,,
248,Sul,2023-03-01,8558.93261719,121.11389923,7072.54882813,100.08070374,20459.2421875,17571.66992188,85.88619995,13529.27237545,,,,,,
249,Norte,2023-03-01,23645.640625,88.48670197,17738.24609375,66.37999725,15302.39648438,14950.56933594,97.70079803,6820.50816667,,,,,,
250,Sudeste,2023-03-01,75283.8359375,108.86979675,54120.90234375,78.26560211,204615.328125,157646.515625,77.04530334,44393.60866667,,,,,,
251,Nordeste,2023-03-01,8634.16113281,61.17789841,8634.16113281,61.17789841,51691.2265625,44229.48046875,85.56479645,12374.43145833,,,,,,
252,Sul,2023-02-28,8647.86816406,103.78569794,6654.09619141,79.85780334,20459.2421875,17586.85742188,85.96050262,13330.27354167,,,,,,
253,Norte,2023-02-28,23605.08984375,104.61730194,16961.73828125,75.17410278,15302.39648438,14814.61132813,96.81240082,6745.4175,,,,,,
254,Nordeste,2023-02-28,8985.51757813,63.43330002,8859.06152344,62.54059982,51691.2265625,44088.42578125,85.29190063,12373.99091667,,,,,,
255,Sudeste,2023-02-28,77344.7109375,109.3946991,50451.84765625,71.35800171,204615.328125,157466.28125,76.9571991,45164.76375,,,,,,
